ïagno;rbd;dgv_rbd;nom_rbd;cod_depe;cod_depe2;rural_rbd;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;estado_estab;mat_si_1;mat_hom_1;mat_muj_1;mat_ens_1;mat_si_2;mat_hom_2;mat_muj_2;mat_ens_2;mat_hom_3;mat_muj_3;mat_ens_3;mat_si_4;mat_hom_4;mat_muj_4;mat_ens_4;mat_hom_5;mat_muj_5;mat_ens_5;mat_hom_6;mat_muj_6;mat_ens_6;mat_hom_7;mat_muj_7;mat_ens_7;mat_si_8;mat_hom_8;mat_muj_8;mat_ens_8;mat_hom_tot;mat_muj_tot;mat_si_tot;mat_total;cur_sim_01;cur_sim_02;cur_sim_03;cur_sim_04;cur_sim_05;cur_sim_06;cur_sim_07;cur_sim_08;cur_sim_tot;cur_comb_01;cur_comb_02;cur_comb_tot
2016;91;4;ESCUELA COSAPILLA;2;1;1;15;152;15202;GENERAL LAGOS;151;ARICA;1;0;0;0;0;0;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;4;0;0;0;0;0;0;0;0;0;0;1;1
2016;92;2;ESCUELA CHISLLUMA;2;1;1;15;152;15202;GENERAL LAGOS;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;93;0;ESCUELA CHUJLLUTA;2;1;1;15;152;15202;GENERAL LAGOS;151;ARICA;1;0;0;0;0;0;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;5;0;1;0;0;0;0;0;0;1;0;2;2
2016;94;9;ESCUELA GUACOYO;2;1;1;15;152;15202;GENERAL LAGOS;151;ARICA;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1
2016;95;7;ESCUELA COLPITAS;2;1;1;15;152;15202;GENERAL LAGOS;151;ARICA;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0
2016;97;3;INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY;1;1;0;1;11;1101;IQUIQUE;11;IQUIQUE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;224;371;0;0;0;0;147;224;0;371;0;0;0;0;0;0;12;0;12;0;0;0
2016;98;1;CENTRO DE DIAGNOSTICO;3;2;0;1;11;1101;IQUIQUE;11;IQUIQUE;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;100;7;ESCUELA;1;1;0;1;11;1101;IQUIQUE;11;IQUIQUE;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;101;5;HOGAR ESTUDIANTIL;1;1;0;1;11;1101;IQUIQUE;11;IQUIQUE;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;102;3;ESC.EDUC.ESPECIAL FLOR DEL INCA;1;1;0;1;11;1101;IQUIQUE;11;IQUIQUE;1;0;0;0;0;0;0;0;0;0;0;0;0;61;38;99;0;0;0;0;0;0;0;0;0;0;0;0;0;61;38;0;99;0;0;0;13;0;0;0;0;13;0;0;0
2016;103;1;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA;1;1;0;1;11;1101;IQUIQUE;11;IQUIQUE;1;0;0;0;0;0;145;211;356;0;0;0;0;0;0;0;68;66;134;0;0;0;0;0;0;0;0;0;0;213;277;0;490;0;12;0;0;4;0;0;0;16;0;0;0
2016;105;8;CENTRO DE CAPACITACION LABORAL;1;1;0;1;11;1101;IQUIQUE;11;IQUIQUE;1;0;0;0;0;0;0;0;0;0;0;0;0;57;29;86;0;0;0;0;0;0;0;0;0;0;0;0;0;57;29;0;86;0;0;0;7;0;0;0;0;7;0;0;0
