
=====================================================================================================================================================
                                                                                     Model 1
(Conviviality)  Model 2
(Identity)   Model 3
(Threat)   
-----------------------------------------------------------------------------------------------------------------------------------------------------
Cov: comuna quintil1Q2 frien_inm_t1t4Now have friends                                    0.00                   -0.00                -0.02           
Cov: comuna quintil1Q2 frien_inm_t1t4No longer have friends                              0.01                   -0.00                -0.03           
Cov: comuna quintil1Q1 quintil1QNA                                                      -0.00                    0.01                 0.10           
Cov: comuna quintil1Q1 know_inm_t1t4Stable, know                                         0.00                    0.01                 0.08           
Cov: comuna quintil1Q1 know_inm_t1t4Now know                                            -0.01                    0.01                 0.02           
Cov: comuna quintil1Q1 know_inm_t1t4No longer know                                      -0.00                    0.01                 0.03           
Cov: comuna quintil1Q1 frien_inm_t1t4Stable, have friends                               -0.01                    0.00                 0.01           
Cov: comuna quintil1Q1 frien_inm_t1t4Now have friends                                    0.01                   -0.01                -0.02           
Cov: comuna quintil1Q1 frien_inm_t1t4No longer have friends                             -0.00                   -0.01                -0.04           
Cov: comuna quintil1QNA know_inm_t1t4Stable, know                                        0.01                    0.03                 0.08           
Cov: comuna quintil1QNA know_inm_t1t4Now know                                            0.02                    0.03                -0.06           
Cov: comuna quintil1QNA know_inm_t1t4No longer know                                      0.01                    0.03                -0.05           
Cov: comuna quintil1QNA frien_inm_t1t4Stable, have friends                              -0.00                    0.00                -0.02           
Cov: comuna quintil1QNA frien_inm_t1t4Now have friends                                  -0.01                   -0.01                 0.05           
Cov: comuna quintil1QNA frien_inm_t1t4No longer have friends                            -0.01                   -0.02                -0.05           
Cov: comuna know_inm_t1t4Stable, know know_inm_t1t4Now know                              0.01                    0.05                 0.10           
Cov: comuna know_inm_t1t4Stable, know know_inm_t1t4No longer know                       -0.01                    0.04                 0.13           
Cov: comuna know_inm_t1t4Stable, know frien_inm_t1t4Stable, have friends                -0.02                   -0.02                 0.01           
Cov: comuna know_inm_t1t4Stable, know frien_inm_t1t4Now have friends                     0.00                   -0.03                -0.04           
Cov: comuna know_inm_t1t4Stable, know frien_inm_t1t4No longer have friends              -0.03                   -0.06                -0.09           
Cov: comuna know_inm_t1t4Now know know_inm_t1t4No longer know                            0.01                    0.06                 0.14           
Cov: comuna know_inm_t1t4Now know frien_inm_t1t4Stable, have friends                     0.01                   -0.01                 0.02           
